Age,Primary residence,Liquid assets,Pension Accounts,Corporate Stocks,Business equity,Misc Assets
18,1.05,0.97,0.95,0.95,0.98,$1 
19,1.05,0.97,0.95,0.95,0.98,$1 
20,1,1,0.95,95.00%,0.98,$1 
21,1,1,0.95,95.00%,0.98,$1 
22,1,1,0.95,95.00%,0.98,$1 
23,1,1,0.95,95.00%,0.98,$1 
24,1,1,0.95,95.00%,0.98,$1 
25,1,1,0.95,95.00%,0.98,$1 
26,1,1,0.95,95.00%,0.98,$1 
27,1,1,0.95,95.00%,0.98,$1 
28,1,1,0.95,95.00%,0.98,$1 
29,1,1,0.95,95.00%,0.98,$1 
30,1,1,0.95,95.00%,0.98,$1 
31,1,1,0.95,95.00%,0.98,$1 
32,1,1,0.95,95.00%,0.98,$1 
33,1,1,0.95,95.00%,0.98,$1 
34,1,1,0.95,95.00%,0.98,$1 
35,1,1,0.95,95.00%,0.98,$1 
36,1,1,0.97,96.00%,0.99,$1 
37,1,1,0.97,96.00%,0.99,$1 
38,1,1,0.97,96.00%,0.99,$1 
39,1,1,0.97,96.00%,0.99,$1 
40,1,1,0.97,96.00%,0.99,$1 
41,1,1,0.97,96.00%,0.99,$1 
42,1,1,0.97,96.00%,0.99,$1 
43,1,1,0.97,96.00%,0.99,$1 
44,1,1,0.97,96.00%,0.99,$1 
45,1,1,1.01,97.00%,1.01,$1 
46,1,1,1.01,97.00%,1.01,$1 
47,1,1,1.01,97.00%,1.01,$1 
48,1,1,1.01,97.00%,1.01,$1 
49,1,1,1.01,97.00%,1.01,$1 
50,1,1,1.01,97.00%,1.01,$1 
51,1,1,1.01,97.00%,1.01,$1 
52,1,1,1.01,97.00%,1.01,$1 
53,1,1,1.01,97.00%,1.01,$1 
54,1,1,1.01,97.00%,1.01,$1 
55,1,1,1.04,101.00%,1.01,$1 
56,1,1,1.04,101.00%,1.01,$1 
57,1,1,1.04,101.00%,1.01,$1 
58,1,1,1.04,101.00%,1.01,$1 
59,1,1,1.04,101.00%,1.01,$1 
60,0.95,0.98,1.04,1.01,1.01,1
61,0.95,0.98,1.04,1.01,1.01,1
62,0.95,0.98,1.04,1.01,1.01,1
63,0.95,0.98,1.04,1.01,1.01,1
64,0.95,0.98,1.04,1.01,1.01,1
65,0.97,0.98,1.01,1.03,0.99,1.02
66,0.97,0.98,1.01,1.03,0.99,1.02
67,0.97,0.98,1.01,1.03,0.99,1.02
68,0.97,0.98,1.01,1.03,0.99,1.02
69,0.97,0.98,1.01,1.03,0.99,1.02
70,0.97,0.98,1.01,1.03,0.99,1.02
71,0.97,0.98,1.01,1.03,0.99,1.02
72,0.97,0.98,1.01,1.03,0.99,1.02
73,0.97,0.98,1.01,1.03,0.99,1.02
74,0.97,0.98,1.01,1.03,0.99,1.02
75,0.99,1.04,0.95,1.05,0.97,1
76,0.99,1.04,0.95,1.05,0.97,1
77,0.99,1.04,0.95,1.05,0.97,1
78,0.99,1.04,0.95,1.05,0.97,1
79,0.99,1.04,0.95,1.05,0.97,1
80,0.99,1.04,0.95,1.05,0.97,1
81,0.99,1.04,0.95,1.05,0.97,1
82,0.99,1.04,0.95,1.05,0.97,1
83,0.99,1.04,0.95,1.05,0.97,1
84,0.99,1.04,0.95,1.05,0.97,1
85,0.99,1.04,0.95,1.05,0.97,1
86,0.99,1.04,0.95,1.05,0.97,1
87,0.99,1.04,0.95,1.05,0.97,1
88,0.99,1.04,0.95,1.05,0.97,1
89,0.99,1.04,0.95,1.05,0.97,1
90,0.99,1.04,0.95,1.05,0.97,1
91,0.99,1.04,0.95,1.05,0.97,1
92,0.99,1.04,0.95,1.05,0.97,1
93,0.99,1.04,0.95,1.05,0.97,1
94,0.99,1.04,0.95,1.05,0.97,1
95,0.99,1.04,0.95,1.05,0.97,1
96,0.99,1.04,0.95,1.05,0.97,1
97,0.99,1.04,0.95,1.05,0.97,1
98,0.99,1.04,0.95,1.05,0.97,1
99,0.99,1.04,0.95,1.05,0.97,1
100,0.99,1.04,0.95,1.05,0.97,1
101,0.99,1.04,0.95,1.05,0.97,1
102,0.99,1.04,0.95,1.05,0.97,1
103,0.99,1.04,0.95,1.05,0.97,1
104,0.99,1.04,0.95,1.05,0.97,1
105,0.99,1.04,0.95,1.05,0.97,1
