Age,Primary residence,Liquid assets,Pension Accounts,Corporate Stocks,Business equity,Misc Assets
18, 1.05 , 0.97 , 0.95 , 0.95 , 0.98 , 1.00 
19, 1.05 , 0.97 , 0.95 , 0.95 , 0.98 , 1.00 
20, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
21, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
22, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
23, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
24, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
25, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
26, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
27, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
28, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
29, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
30, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
31, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
32, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
33, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
34, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
35, 1.00 , 1.00 , 0.95 , 0.95 , 0.98 , 1.00 
36, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
37, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
38, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
39, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
40, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
41, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
42, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
43, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
44, 1.00 , 1.00 , 0.97 , 0.96 , 0.99 , 1.00 
45, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
46, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
47, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
48, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
49, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
50, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
51, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
52, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
53, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
54, 1.00 , 1.00 , 1.01 , 0.97 , 1.01 , 1.00 
