Percentile,Primary residence,Liquid assets,Pension Accounts,Corporate Stocks,Business equity/Other real estate,Misc Assets
0.00000000000,0.99999999000,0.09000000000,0.12000000000,0.03000000000,0.05,$0 
1,0.99999999,0.09,0.12,0.03,0.05,$0 
2,1,0,0.120779661,3.02%,0.050491525,$0 
3,1,0,0.121559322,3.03%,0.050983051,$0 
4,1,0,0.122338983,3.05%,0.051474576,$0 
5,1,0,0.123118644,3.06%,0.051966102,$0 
6,1,0,0.123898305,3.08%,0.052457627,$0 
7,1,0,0.124677966,3.09%,0.052949153,$0 
8,1,0,0.125457627,3.11%,0.053440678,$0 
9,1,0,0.126237288,3.12%,0.053932203,$0 
10,1,0,0.127016949,3.14%,0.054423729,$0 
11,1,0,0.12779661,3.15%,0.054915254,$0 
12,1,0,0.128576271,3.17%,0.05540678,$0 
13,1,0,0.129355932,3.18%,0.055898305,$0 
14,1,0,0.130135593,3.20%,0.056389831,$0 
15,1,0,0.130915254,3.21%,0.056881356,$0 
16,1,0,0.131694915,3.23%,0.057372881,$0 
17,1,0,0.132474576,3.24%,0.057864407,$0 
18,1,0,0.133254237,3.26%,0.058355932,$0 
19,1,0,0.134033898,3.27%,0.058847458,$0 
20,1,0,0.134813559,3.29%,0.059338983,$0 
21,1,0,0.13559322,3.31%,0.059830508,$0 
22,1,0,0.136372881,3.32%,0.060322034,$0 
23,1,0,0.137152542,3.34%,0.060813559,$0 
24,1,0,0.137932203,3.35%,0.061305085,$0 
25,1,0,0.138711864,3.37%,0.06179661,$0 
26,1,0,0.139491525,3.38%,0.062288136,$0 
27,1,0,0.140271186,3.40%,0.062779661,$0 
28,1,0,0.141050847,3.41%,0.063271186,$0 
29,1,0,0.141830508,3.43%,0.063762712,$0 
30,1,0,0.142610169,3.44%,0.064254237,$0 
31,1,0,0.143389831,3.46%,0.064745763,$0 
32,1,0,0.144169492,3.47%,0.065237288,$0 
33,1,0,0.144949153,3.49%,0.065728814,$0 
34,1,0,0.145728814,3.50%,0.066220339,$0 
35,1,0,0.146508475,3.52%,0.066711864,$0 
36,1,0,0.147288136,3.53%,0.06720339,$0 
37,1,0,0.148067797,3.55%,0.067694915,$0 
38,1,0,0.148847458,3.56%,0.068186441,$0 
39,1,0,0.149627119,3.58%,0.068677966,$0 
40,1,0,0.15040678,3.59%,0.069169492,$0 
41,1,0,0.151186441,3.61%,0.069661017,$0 
42,0.76080353,0.086525424,0.151966102,0.036254237,0.070152542,0.012
43,0.75405135,0.086440678,0.152745763,0.03640678,0.070644068,0.012
44,0.74719267,0.086355932,0.153525424,0.036559322,0.071135593,0.012
45,0.74022311,0.086271186,0.154305085,0.036711864,0.071627119,0.012
46,0.73313829,0.086186441,0.155084746,0.036864407,0.072118644,0.012
47,0.72593383,0.086101695,0.155864407,0.037016949,0.072610169,0.012
48,0.71860535,0.086016949,0.156644068,0.037169492,0.073101695,0.012
49,0.71114847,0.085932203,0.157423729,0.037322034,0.07359322,0.012
50,0.70355881,0.085847458,0.15820339,0.037474576,0.074084746,0.012
51,0.69583199,0.085762712,0.158983051,0.037627119,0.074576271,0.012
52,0.68796363,0.085677966,0.159762712,0.037779661,0.075067797,0.012
53,0.67994935,0.08559322,0.160542373,0.037932203,0.075559322,0.012
54,0.67178477,0.085508475,0.161322034,0.038084746,0.076050847,0.012
55,0.66346551,0.085423729,0.162101695,0.038237288,0.076542373,0.012
56,0.65498719,0.085338983,0.162881356,0.038389831,0.077033898,0.012
57,0.64634543,0.085254237,0.163661017,0.038542373,0.077525424,0.012
58,0.63753585,0.085169492,0.164440678,0.038694915,0.078016949,0.012
59,0.62855407,0.085084746,0.165220339,0.038847458,0.078508475,0.012
60,0.61939571,0.085,0.166,0.039,0.079,0.012
61,0.61005639,0.084724138,0.168,0.044068966,0.084724138,0.012
62,0.60053173,0.084448276,0.17,0.049137931,0.090448276,0.012
63,0.59081735,0.084172414,0.172,0.054206897,0.096172414,0.012
64,0.58090887,0.083896552,0.174,0.059275862,0.101896552,0.012
65,0.57080191,0.08362069,0.176,0.064344828,0.10762069,0.012
66,0.56049209,0.083344828,0.178,0.069413793,0.113344828,0.012
67,0.54997503,0.083068966,0.18,0.074482759,0.119068966,0.012
68,0.53924635,0.082793103,0.182,0.079551724,0.124793103,0.012
69,0.52830167,0.082517241,0.184,0.08462069,0.130517241,0.012
70,0.51713661,0.082241379,0.186,0.089689655,0.136241379,0.012
71,0.50574679,0.081965517,0.188,0.094758621,0.141965517,0.012
72,0.49412783,0.081689655,0.19,0.099827586,0.147689655,0.012
73,0.48227535,0.081413793,0.192,0.104896552,0.153413793,0.012
74,0.47018497,0.081137931,0.194,0.109965517,0.159137931,0.012
75,0.45785231,0.080862069,0.196,0.115034483,0.164862069,0.012
76,0.44527299,0.080586207,0.198,0.120103448,0.170586207,0.012
77,0.43244263,0.080310345,0.2,0.125172414,0.176310345,0.012
78,0.41935685,0.080034483,0.202,0.130241379,0.182034483,0.012
79,0.40601127,0.079758621,0.204,0.135310345,0.187758621,0.012
80,0.39240151,0.079482759,0.206,0.14037931,0.193482759,0.012
81,0.37852319,0.079206897,0.208,0.145448276,0.199206897,0.012
82,0.36437193,0.078931034,0.21,0.150517241,0.204931034,0.012
83,0.34994335,0.078655172,0.212,0.155586207,0.210655172,0.012
84,0.33523307,0.07837931,0.214,0.160655172,0.21637931,0.012
85,0.32023671,0.078103448,0.216,0.165724138,0.222103448,0.012
86,0.30494989,0.077827586,0.218,0.170793103,0.227827586,0.012
87,0.28936823,0.077551724,0.22,0.175862069,0.233551724,0.012
88,0.27348735,0.077275862,0.222,0.180931034,0.239275862,0.012
