Income Range Low,Income Range High,Income Midpoint,Number (thousands),Percentage,Percentile,Mean Income,Mean number of earners,Meansize of household
,5000,2500,4571,3.67%,0,"$1,080 ",0.2,1.91
5000,9999,7500,4320,3.47%,3.67,"$7,936 ",0.34,1.78
10000,14999,12500,6766,5.43%,7.14,"$12,317 ",0.39,1.71
15000,19999,17500,6779,5.44%,12.57,"$17,338 ",0.54,1.9
20000,24999,22500,6865,5.51%,18.01,"$22,162 ",0.73,2.07
25000,29999,27500,6363,5.11%,23.52,"$27,101 ",0.82,2.19
30000,34999,32500,6232,5.00%,28.63,"$32,058 ",0.94,2.27
35000,39999,37500,5857,4.70%,33.63,"$37,061 ",1.04,2.31
40000,44999,42500,5430,4.36%,38.33,"$41,979 ",1.15,2.4
45000,49999,47500,5060,4.06%,42.69,"$47,207 ",1.24,2.52
50000,54999,52500,5084,4.08%,46.75,"$51,986 ",1.32,2.54
55000,59999,57500,4220,3.39%,50.83,"$57,065 ",1.41,2.56
60000,64999,62500,4477,3.59%,54.22,"$62,016 ",1.46,2.64
65000,69999,67500,3709,2.98%,57.81,"$67,081 ",1.51,2.67
70000,74999,72500,3737,3.00%,60.79,"$72,050 ",1.57,2.73
75000,79999,77500,3484,2.80%,63.79,"$77,023 ",1.6,2.79
80000,84999,82500,3142,2.52%,66.58,"$81,966 ",1.63,2.79
85000,89999,87500,2750,2.21%,69.11,"$87,101 ",1.77,2.9
90000,94999,92500,2665,2.14%,71.31,"$92,033 ",1.82,2.96
95000,99999,97500,2339,1.88%,73.45,"$97,161 ",1.81,2.97
100000,104999,102500,2679,2.15%,75.33,"$101,921 ",1.79,3.01
105000,109999,107500,2070,1.66%,77.48,"$107,187 ",1.88,3.01
110000,114999,112500,1922,1.54%,79.14,"$112,069 ",1.93,3.12
115000,119999,117500,1623,1.30%,80.68,"$117,133 ",1.98,3.14
120000,124999,122500,1863,1.50%,81.99,"$122,127 ",1.93,3.09
125000,129999,127500,1452,1.17%,83.48,"$127,166 ",1.99,3.12
130000,134999,132500,1512,1.21%,84.65,"$131,863 ",2,3.18
135000,139999,137500,1219,0.98%,85.86,"$137,284 ",1.98,3.11
140000,144999,142500,1290,1.04%,86.84,"$142,199 ",1.97,3.03
145000,149999,147500,1024,0.82%,87.87,"$147,130 ",2.01,3.11
150000,154999,152500,1146,0.92%,88.7,"$151,940 ",1.85,3.12
155000,159999,157500,848,0.68%,89.62,"$157,177 ",2.08,3.15
160000,164999,162500,875,0.70%,90.3,"$162,019 ",2.02,3.13
165000,169999,167500,786,0.63%,91,"$167,101 ",2.1,3.16
170000,174999,172500,717,0.58%,91.63,"$172,169 ",2.17,3.21
175000,179999,177500,607,0.49%,92.21,"$177,187 ",2.19,3.28
180000,184999,182500,619,0.50%,92.69,"$182,055 ",2.03,3.19
185000,189999,187500,556,0.45%,93.19,"$187,299 ",2.03,3.2
190000,194999,192500,485,0.39%,93.64,"$192,241 ",2.19,3.29
195000,199999,197500,436,0.35%,94.03,"$197,211 ",2.23,3.27
200000,249999,225000,3249,2.61%,94.38,"$220,267 ",2.08,3.24
250000,,275000,3757,3.02%,96.98,"$402,476 ",,
